premise_en,premise_fr,premise_ru,hypothesis_en,hypothesis_fr,hypothesis_ru,label
i often think gee i wish i had a video camera because i could sure use ten thousand dollars so but i like things like Evening Shade with Burt Reynolds i really enjoy that and uh,Je pense souvent que j' aimerais avoir une caméra vidéo parce que je pourrais utiliser dix mille dollars alors mais j' aime les choses comme l' ombre du soir avec Burt Reynolds j' aime vraiment ça et euh,"Я часто думаю о том , как бы мне хотелось иметь видеокамеру , потому что я мог бы использовать десять тысяч долларов , так что я люблю такие вещи , как вечерний оттенок с берт рейнольдс мне очень нравится это и",Video cameras that I need are very expensive .,Les caméras vidéo dont j' ai besoin sont très chères .,"Видео-камеры , которые мне нужны , очень дорогие .",1
"The man on the ground thinks for a moment and yells back , You must work in management .","L' homme sur le sol pense un instant et crie en arrière , vous devez travailler dans la direction .","Человек на земле думает на мгновение и кричит назад , ты должен работать в управлении .","There was no one on the ground , man or woman .","Il n' y avait personne sur le sol , homme ou femme .","На Земле никого не было , ни мужчины , ни женщины .",2
"If , however , the evaluation question requires GAO to report on how satisfactory progress is or the reasons for problems in implementation , the more staff who can be on site over time , with the ricHe 'st or thickest base for examining the situation as the many people involved see it , the sounder our causal conclusions and subsequent recommendations will be .","Si , toutefois , la question d' évaluation exige que Gao fasse rapport sur la manière dont les progrès sont satisfaisants ou sur les raisons des problèmes de mise en œuvre , plus le personnel peut être sur place au fil du temps , avec la base riche ou la plus épaisse pour examiner la situation en tant que nombreux les personnes impliquées le voient , le plus solide nos conclusions de causalité et les recommandations ultérieures seront .","Если , однако , вопрос об оценке требует от гао сообщить о том , насколько удовлетворительным является прогресс или причины проблем , связанных с осуществлением , тем больше сотрудников , которые могут находиться на месте с течением времени , с богатым или самым толстые основанием для изучения ситуации в качестве многих . Люди , вовлеченные в это дело , должны быть более более , чем наши причинная выводы и последующие рекомендации .","If the GAO has to report on the progress , the recommendations will be much poorer quality .","Si le Gao doit faire rapport sur les progrès accomplis , les recommandations seront beaucoup plus médiocres .","Если гао будет представлять информацию о ходе работы , то рекомендации будут значительно беднее .",2
The economy could be still better .,L' économie pourrait être encore meilleure .,Экономика может быть еще лучше .,The economy has never been better .,L' économie n' a jamais été meilleure .,Экономика никогда не была лучше .,2
Hills and mountains are especially sanctified in the cult of Jainism .,Les collines et les montagnes sont particulièrement sanctifié dans le culte de jaïnisme .,Холмы и горы особенно освятил в секте джайнизм .,The cult of Jainism hates nature .,Le culte de jaïnisme déteste la nature .,Культ джайнизм ненавидит природу .,2
The famous tenements ( or lands ) began to be built .,Les célèbres immeubles ( ou terres ) ont commencé à être construits .,Были построены знаменитые жилые дома ( или земли ) .,The land remained deserted .,La terre est restée déserte .,Земля оставалась дезертировал .,2
In the midst of this amazing amalgam of cultures is a passion for continuity .,Au milieu de cet incroyable amalgame de cultures est une passion pour la continuité .,В середине этой удивительной амальгамы культур - страсть к преемственности .,A passion for continuity is not the most important of these cultures .,Une passion pour la continuité n' est pas la plus importante de ces cultures .,Страсть к преемственности не является самой важной из этих культур .,1
"Putting aside stage as a horse-drawn conveyance , a popular delicatessen , a part of a rocket , and an opportunity to mock Gail Sheehy ( who seems to get a free ride from News Quiz participants ) , this question all but demanded the invention of a violent theatrical event , and that 's not easy .","Mettre de côté la scène comme un moyen de transport à cheval , une épicerie fine populaire , une partie d' une fusée , et une occasion de se moquer de Gail Sheehy ( qui semble obtenir un tour gratuit des participants au quiz ) , cette question a tout sauf exigé l' invention d' un un événement théâtral violent , et ce n' est pas facile .","Что сцену как в перевозки , популярный магазин деликатесов , часть ракеты , и возможность издеваться над гейл надо ( которая , кажется , получила бесплатную поездку от участников викторины ) , этот вопрос все , но потребовал изобретение в. Жестокое театральное событие , и это не просто .",Gail Sheehy is a popular target for mocking on other shows .,Gail Sheehy est une cible populaire pour se moquer d' autres spectacles .,Гейл надо - популярная мишень для над на других шоу .,1
Entreaties to the apartment 's owner have gone nowhere .,Les supplications du propriétaire de l' appartement n' ont rien donné .,Мольбы владельца квартиры никуда не пропали .,The apartment 's owner is very responsive .,Le propriétaire de l' appartement est très réactif .,Владелец квартиры очень реагирует .,2
Mrs. Cavendish is in her mother-in-law 's room .,Mme Cavendish est dans la chambre de sa belle-mère .,Миссис Кавендиш в комнате своей мать .,Mrs. Cavendish has left the building .,Mme Cavendish a quitté l' immeuble .,Миссис Кавендиш покинула здание .,2
But I thought you 'd sworn off coffee .,Mais je croyais que tu avais juré de ne pas faire de café .,"Но я думал , что ты поклялся кофе .",I thought that you vowed to drink more coffee .,Je pensais que tu avais juré de boire plus de café .,"Я думал , что ты поклялся выпить еще кофе .",2
We stink all the time .,On pue tout le temps .,Мы постоянно вонь .,We always stink .,On pue toujours .,Мы всегда вонь .,0
"In an increasingly interdependent world , many pressing problems that affect Americans can be addressed only through cooperation with other countries .","Dans un monde de plus en plus interdépendant , de nombreux problèmes urgents qui touchent les américains ne peuvent être abordés que par la coopération avec d' autres pays .","Во все более взаимозависимом мире многие насущные проблемы , затрагивающие американцев , могут быть решены только на основе сотрудничества с другими странами .",We should be independent and stay away from talking and working with other nations .,Nous devrions être indépendants et rester loin de parler et de travailler avec d' autres nations .,Мы должны быть независимыми и держаться подальше от разговоров и работы с другими странами .,2
Ca 'daan continued .,Ca ' daan a continué .,Это продолжалось .,Ca 'daan refused to stop .,Ca ' daan a refusé d' arrêter .,Ca отказался остановиться .,1
The rule requires broadcasters to maintain a file for public inspection containing a Children 's Television Programming Report and to identify programs specifically designed to educate and inform children at the beginning of those programs and to furnish such information to the publishers of program guides .,La règle exige que les diffuseurs tiennent un dossier d' inspection publique contenant un rapport de programmation de la télévision pour enfants et identifient des programmes spécialement conçus pour éduquer et informer les enfants au début de ces programmes et pour fournir ces informations aux éditeurs de guides de programmes .,"Это правило требует , чтобы теле-и дикторов компании сохраняли досье для проведения публичных инспекций , содержащих доклад о детских телевизионных программах , и выделяли программы , специально предназначенные для просвещения и информирования детей в начале этих программ , и предоставления такой информации в руководств по программам .",The rule makes broadcasters keep a file about children 's television programming .,La règle fait que les radiodiffuseurs gardent un dossier sur la programmation télévisée des enfants .,Это правило заставляет вещательных компаний вести дело о детских телевизионных программах .,0
well because how how hot i mean like like in the coldest that it gets in winter down there how much is it,"Eh bien , parce que je veux dire comme c' est chaud , comme dans le plus froid qu' il y a en hiver là-bas , combien c' est ?","Ну , потому что , как жарко я имею в виду , как в самом холодном , что он зимой туда попадает , сколько он стоит ?","It 's hot all the time where I live , including winter .","C' est chaud tout le temps où je vis , y compris l' hiver .","Жарко все время , где я живу , включая зиму .",1
Each of the men wore leather armor and dressed in the style of heavy riders .,Chacun des hommes portait une armure en cuir et s' habillait dans le style des cavaliers lourds .,Каждый из мужчин носил кожаные доспехи и одевался в стиле тяжелых всадников .,The men were naked .,Les hommes étaient nus .,Мужчины были голыми .,2
The man should have died instantly .,L' homme aurait dû mourir sur le coup .,Человек должен был умереть мгновенно .,The man was perfectly fine .,L' homme allait parfaitement bien .,Он был в полном порядке .,2
"In summer the rice forms a green velvety blanket , then turns golden in autumn when it ripens and is harvested .","En été , le riz forme une couverture verte veloutée , puis devient doré en automne quand il mûrit et est récolté .","Летом рис образует зеленое бархатистая одеяло , а затем становится золотым осенью , когда оно созревает и - .","The rice is golden and harvestable in the summer , but turns green in autumn .","Le riz est doré et à en été , mais devient vert en automne .","Рис золотой и эксплуатацию летом , но становится зеленым осенью .",2
"Just as the Daily Worker and New Masses , socialist papers from the 1930s , were peppered with citations of Marx and Engels , Educational Liberator is peppered with references to their libertarian equivalents--Friedrich Hayek and Ludwig von Mises .","Tout comme le travailleur quotidien et les nouvelles masses , les journaux socialistes des années 1930 , ont été parsemés de citations de Marx et D' Engels , le libérateur éducatif est parsemé de références à leurs équivalents libertaires -- Friedrich Hayek et Ludwig von mises .","Точно так же , как ежедневный рабочий и новые массы , социалистическая газета 1930-х годов , были запачкали ссылками на Маркса и Энгельс , образовательный "" освободитель "" изобилует ссылками на их патерналисты эквиваленты -- Фридрих Хайек и Людвиг фон Мизес .",Citations from Marx were used in socialist papers in the 30s .,Les citations de Marx ont été utilisées dans les journaux socialistes dans les années 30,Цитаты из Маркса были использованы в социалистических газетах в 30-х годах .,0
"To be sure that any needlework item is the genuine article ( as opposed to an inferior import or machine-made piece ) , look for a lead seal with an M , the emblem of IBTAM meaning it 's been certified by the Instituto de Bordado , Tapecaras e Arte ? ­ sanato da Madeira ( Institute of Madeiran Embroidery , Tapestry , and Handicrafts ) , an official island organization that has a showroom / museum on Rua Visconde de Anadia , 44 .","Pour être sûr que tout élément de couture est l' article authentique ( par opposition à une pièce d' importation inférieure ou à la machine ) , cherchez un joint de plomb avec un m , L' emblème de ibtam signifiant qu' il a été certifié par l' instituto de bordado , tapecaras e Arte ? Sanato Da Madeira ( Institut de la broderie , de la tapisserie et de l' artisanat de Madère ) , une organisation insulaire officielle qui dispose d' une salle d' exposition / Musée sur la rua visconde de anadia , 44 .","Чтобы быть уверенным в том , что любой рукоделию предмет является настоящей статьей ( в отличие от более низкого импорта или машина части ) , искать в печать с м , эмблема ibtam означает , что она была сертифицирована институтом de bordado , tapecaras э-арте ? Sanato да мадейра ( институт мадейры вышивки , гобелен и кустарных изделий ) , официальной островной организации , у которой есть шоурум / музей на острове Руа-де-анадии , 44 . Год .",There is a seal to show authenticity in needlework items made in Italy .,Il y a un sceau pour montrer l' authenticité des articles de couture fabriqués en Italie .,"Есть печать , чтобы показать подлинность предметов шитья , сделанных в Италии .",1
"I 'm not into this Multivista stuff , because what is some dumpy system when compared to a beautiful hyperextension of the sun somewhere over Kuchara , when compared to the golden hue of onion fried with the kse-fi waves , when compared to the number of dividers for credit membranes in a wallet of a rich man , when compared to the magnificent smell of a briessante roll dunked in wholesome milk synthetically enriched with substances boosting the secretion of happiness hormones , that one from two years ago , not three , ' Gonzo said in a tone characteristic for a man who just discovered a solution to his life problem .","Je ne suis pas dans cette histoire de multivista , parce que ce qui est un système boulotte par rapport à une belle hyperextension du soleil quelque part au-dessus de kuchara , par rapport à la teinte dorée de l' oignon frit avec les ondes kse-Fi , par rapport au nombre de diviseurs pour les membranes de crédit dans un portefeuille d' un homme riche , comparé à la magnifique odeur d' un rouleau de briessante trempé dans du lait sain synthétique enrichi de substances qui stimulent la sécrétion d' hormones de bonheur , celui-ci d' il y a deux ans , pas trois , ' gonzo a dit d' un ton caractéristique pour un homme qui vient de découvrir une solution à son problème de vie .","Мне не нравится эта multivista штука , потому что какая какая-то унылой система по сравнению с прекрасным гиперэкстензии солнца где-то над kuchara , когда по сравнению с золотым оттенком лука жареные с в-fi волнами , по сравнению с количеством отделившихся для кредитных мембраны в бумажнике богатого человека , когда по сравнению с великолепным запахом в ролл засунули в здоровое молоко , . С веществами , поднимать в гормонов счастья , то один из двух лет назад , а не три , ' гонзо сказал в характерный для человека , который только что обнаружил решение своей проблемы с жизнью .",He 's not into this multivista stuff because what is some dumpy system compared to the magnificent smell of a cinnamon roll dunked in wholesome milk .,Il n' est pas dans cette histoire de multivista parce que ce qui est un système boulotte comparé à la magnifique odeur d' un rouleau de cannelle trempé dans du lait sain .,"Он не любит эту multivista , потому что какая-то унылой система по сравнению с великолепным запахом в корицы в молоке .",0
"No matter what I ended up doing , I think I would have found some way within that profession to do public work , because that 's what I was taught , Zelon said .","Peu importe ce que j' ai fini par faire , je pense que j' aurais trouvé un moyen dans ce métier de faire du travail public , parce que c' est ce qu' on m' a enseigné , zelon a dit .","Что бы я ни делала , я думаю , что я бы нашла какой-то способ в этой профессии заниматься общественной работой , потому что это то , чему меня учили , zelon сказал .",This is like using the postition as a banker to help make regulations better for the public .,C' est comme utiliser le position en tant que banquier pour aider à rendre la réglementation meilleure pour le public .,"Это как использовать в в качестве банкира , чтобы помочь сделать правила лучше для общественности .",1
Clark also expressed the hope that he and Redgrave could continue with their marriage .,Clark a également exprimé l' espoir que lui et redgrave puissent poursuivre leur mariage .,"Кларк также выразил надежду на то , что он и редгрейв смогут продолжить свой брак .",Clark hoped that he could continue their marriage .,Clark espérait pouvoir poursuivre leur mariage .,"Кларк надеялся , что он сможет продолжить свой брак .",0
"The poverty , for instance , does not create the sense of shame as it does for people who live in Western countries .","La pauvreté , par exemple , ne crée pas le sens de la honte comme c' est le cas pour les personnes vivant dans des pays occidentaux .","Нищета , например , не создает чувства стыда , как это делают люди , которые живут в западных странах .",Poverty doesn 't create a sense of shame in any country .,La pauvreté ne crée pas un sentiment de honte dans aucun pays .,Бедность не создает чувство стыда в любой стране .,2
"Back on the road to Jaisalmer , one last splash of color delights the senses before you plunge into the the fields are dotted with mounds of red hot chili peppers .","De retour sur la route de jaisalmer , une dernière goutte de couleur enchante les sens avant de plonger dans les champs sont parsemés de monticules de piments rouges chauds .","Снова на дороге в джайсалмер , последний всплеск цвета восхищает чувства перед тем , как окунуться в поля являются с насыпи red hot chili peppers .",The road to Jaisalmer is bumpy and unpleasant to ride on .,La route de jaisalmer est chaotique et désagréable à monter .,Дорога к джайсалмер - и неприятно ездить дальше .,1
they supplied some uh you know they were some groups uh the Vicksburg if you ever get a chance to go over to Vicksburg the battleground at Vicksburg uh there 's an area there where there was uh some Texas uh groups and they had an interesting time there,"Ils ont fourni des vous savez qu' ils étaient des groupes , le vicksburg , si vous avez une chance d' aller à vicksburg le champ de bataille à vicksburg . Il y a une zone là où il y avait des groupes du Texas et ils ont eu un moment intéressant là-bas .","Вы знаете , что это были некоторые группы uh , если у вас когда-нибудь будет шанс отправиться в виксбург поле битвы в виксбург . Там есть район , где были некоторые группы Техаса , и у них было интересное время .",There were also North Carolina troops at Vicksburg .,Il y avait aussi des troupes de la Caroline du nord à vicksburg .,В виксбург также были войска Северной Каролины .,1
which i mean i think it should be anyway,"Ce que je veux dire , je pense que ça devrait être de toute façon .","Я имею в виду , я думаю , что это должно быть в любом",I don 't think it should be that way,Je ne pense pas que ça devrait être comme ça .,"Я не думаю , что так должно быть .",2
"Also , compensation committees need to understand the implications of compensation to provide incentives for management to do the right thing for the company and its shareholders versus themselves .","En outre , les comités d' indemnisation doivent comprendre les implications de l' indemnisation pour inciter la direction à faire ce qu' il faut pour l' entreprise et ses actionnaires contre eux-mêmes .","Кроме того , комитеты по вопросам компенсации должны понимать последствия компенсации для обеспечения стимулов для управления , с тем чтобы они могли делать правильный выбор для компании и ее акционеров против самих себя .",The implications of compensation to provide incentives for management to do the right thing for the company and its shareholders versus themselves should always be ignored by compensation committees .,Les conséquences de l' indemnisation pour inciter la direction à faire ce qu' il faut pour la société et ses actionnaires par rapport à eux-mêmes devraient toujours être ignorées par les comités d' indemnisation .,"Последствия компенсации для обеспечения стимулов для управления , с тем чтобы они могли делать правильный выбор для компании и ее акционеров против самих себя , всегда должны игнорироваться комитетами по компенсации .",2
"The fourth-century Roman emperor Gratianus was an early visitor , followed much later by such luminaries as the Romantic poet Alphonse de Lamartine , Queen Victoria , Saint-Sa ? « ns , and Rachmaninov .","L' Empereur Romain du quatrième siècle Gratien fut un visiteur précoce , suivi beaucoup plus tard par des personnalités telles que le poète romantique Alphonse de Lamartine , la reine Victoria , Saint-sa ? "" ns , et rachmaninov .","Римский император-го века был одним из первых посетителей , за которым позже последовали такие знаменитости , как романтический поэт Альфонс де Ламартин , королева Виктория , сен-са ? "" нс и рахманинов .",Gratianus was a Roman empoeror .,Gratien était un empoeror Romain .,Gratianus был римским empoeror .,0
"So , I went to court by myself and told them the truth , but it didn 't do me any good .","Donc , je suis allé au tribunal tout seul et je leur ai dit la vérité , mais ça ne m' a pas fait de bien .","Так что я пошел в суд сам и сказал им правду , но мне это не было хорошо .",I went and told the truth at court but it didn 't do me any good .,"J' ai dit la vérité à la cour , mais ça ne m' a pas fait de bien .","Я пошел и сказал правду в суде , но мне это не удалось .",0
"Click More Links ( on the right-hand side under Miscellaneous ) , and from","Cliquez sur plus de liens ( sur le côté droit sous divers ) , et de","Нажмите больше ссылок ( на правой стороне под другим ) , и от",There are no links to click under Miscellaneous .,Il n' y a pas de liens à cliquer sous divers .,"Нет ссылок , чтобы нажать на "" разное",2
and so i started watching it and all of a sudden stay tuned next week and i went what,Et donc j' ai commencé à le regarder et tout d' un coup je suis resté à l' écoute la semaine prochaine et je suis allé quoi,"И я начал смотреть на это и вдруг на следующей неделе , и я пошел на что .",I wouldn 't have started watching it if I 'd known .,Je n' aurais pas commencé à le regarder si je le savais .,"Я бы не стал смотреть это , если бы знал .",1
no oh no oh well take care,Non oh non oh bien prends soin de toi,"Нет , нет , нет , нет , нет , нет ,",Bye for now .,Au revoir pour l' instant .,Пока .,0
"'Hello , Ben . ' ","Bonjour , ben . ' ' ' ' ' ' '","Привет , бен . ' ' '",I ignored Ben,J' ai ignoré ben,Я игнорировал бена .,2
how can you prove it,Comment pouvez-vous le prouver ?,Как ты можешь это доказать ?,Can you tell me how to prove it ?,Pouvez-vous me dire comment le prouver ?,"Не могли бы вы сказать мне , как это доказать ?",0
"It displays all kinds of vehicles , from the coach that carried Napoleon to and from Moscow in 1812 to a splendid 4-horsepower Renault car from 1904 and other turn-of-the-century classics .","Il affiche toutes sortes de véhicules , de l' entraîneur qui a transporté Napoléon à et de Moscou en 1812 à une splendide voiture RENAULT 4 chevaux à partir de 1904 et d' autres classiques du début du siècle .","Он отображает все виды автомобилей , от тренера , который перенес Наполеона в Москву и из Москвы в 1812 году до великолепной 4-л.с. машины Renault с 1904 года и других классических классических классики .",The exhibition only displays cars from the 2000s .,L' exposition n' affiche que des voitures des années 2000,На выставке отображаются только автомобили из 2000-х годов .,2
"According to this executive , the town hall meetings helped improve his customer satisfaction levels because veterans identified the concerns that were most important to them , gained direct access to the VBA employees working on their benefit claims , and were better able to understand the claims process .","Selon ce cadre , les réunions de la mairie ont contribué à améliorer le niveau de satisfaction des clients parce que les anciens combattants ont identifié les préoccupations les plus importantes pour eux , ont obtenu un accès direct aux employés de la vba qui travaillent sur leurs demandes de prestations , et sont mieux à même de comprendre le processus de réclamations .","По данным этой исполнительной власти , встречи в мэрии помогли повысить уровень удовлетворенности клиентов , поскольку ветераны определили наиболее важные для них проблемы , получили прямой доступ к работникам академии , работающим над их претензиями на получение пособий , и смогли лучше понять процесс рассмотрения претензий .","The own hall meetings helped improve his customer satisfaction levels , said the executive .","Les réunions du hall ont contribué à améliorer le niveau de satisfaction des clients , a déclaré l' exécutif .","Собственные заседания зала помогли повысить уровень удовлетворенности его клиентов , заявил исполнительный директор .",0
well see that isn 't too bad a couple hours,Bien vu que ce n' est pas trop mal quelques heures,"Ну видишь , это не так уж и плохо пару часов .","I don 't like waiting , not even for 10 minutes .","Je n' aime pas attendre , même pas pendant 10 minutes .","Я не люблю ждать , даже 10 минут .",2
"In the east , Christian forces were in retreat as a new Moslem power began to rise .","À L' est , les forces chrétiennes étaient en retraite alors qu' une nouvelle puissance musulmane commençait à se lever .","На востоке христианские силы отступили , когда началась новая мусульманская власть .","Although the Christian forces were stronger , they were in retreat .","Bien que les forces chrétiennes soient plus fortes , elles étaient en retraite .","Несмотря на то , что христианские силы были сильнее , они были в уединении .",1
We have been told on reasonably high authority that true charity vaunteth not itself,Nous avons été informés sur une autorité raisonnablement élevée que la vraie charité n' est pas elle-même .,"Нам сказали на достаточно высоком уровне , что истинная благотворительность не сама по себе .","True charity vaunts itself , we have been told .","La vraie charité , elle-même , on nous l' a dit .","Нам сказали , что истинная благотворительность сама по себе .",2
yeah and what to do when they 're faced with it,Ouais et quoi faire quand ils sont confrontés à ça,"Да , и что делать , когда они сталкиваются с этим .",They 'll face peer pressure and will need to say no .,Ils seront confrontés à la pression des pairs et auront besoin de dire non .,"Они будут сталкиваться с давлением со стороны сверстников , и им придется сказать "" нет",1
"The With attorneys one year out of graduate school facing an average debt of just less than $ 90,000 and starting salaries at legal aid organizations averaging $ 31,000 , they couldn 't afford the job .","Les avocats , un an après l' école supérieure , face à une dette moyenne d' un peu moins de 90,000 90,000 dollars et à la rémunération des organisations d' aide juridique , en moyenne 31,000 31,000 dollars , ne pouvaient pas se permettre le travail .","В течение одного года после окончания средней школы , в которой средний долг составляет менее 90,000 90,000 долл . США и начиная зарплаты в организациях юридической помощи в среднем 31,000 31,000 долл . США , они не могли позволить себе эту работу",New attorneys have massive law school debt .,Les nouveaux avocats ont une dette massive de l' école de droit .,У новых адвокатов огромный долг в юридической школе .,0
"Here you 'll see a shrunken head , a two-headed goat , and a statue of Marilyn Monroe made of shredded money , among other curiosities .","Ici vous verrez une tête réduite , une chèvre à deux têtes , et une statue de Marilyn Monroe faite d' argent déchiqueté , entre autres curiosités .","Здесь вы увидите в голову , в козу , и статую Мэрилин Монро из соломкой денег , среди прочих курьезы .",One of the curiosities is a two-headed goat .,Une des curiosités est une chèvre à deux têtes .,Одно из в - в коза .,0
"Thursday 's judge , the Honorable Charles Adams of the Coconino County Superior Court , agreed , but highly discouraged self-representation .","Le juge de jeudi , l' honorable Charles Adams de la cour supérieure du comté de coconino , a accepté , mais a fortement découragé l' auto-représentation .","Судья четверга , достопочтенный Чарльз Адамс из высшего суда округа коконино , согласился , но крайне не не себя .",Self-representation was encouraged by the Honorable Charles Adams .,L' Auto-représentation a été encouragée par l' honorable Charles Adams .,На был поощрять достопочтенный Чарльз Адамс .,2
"He mostly hangs out with a group of older , Southern black men , who call him Jumper and Black Cat .","Il traîne surtout avec un groupe de vieux noirs du sud , qui l' appellent jumper et chat noir .","Он , в основном , тусуется с группой старых , южных черных мужчин , которые называют его джемпер и черной кошкой .",The group of guys he tends to hang out with gave him the nickname Jumper .,Le groupe de gars qu' il a tendance à traîner avec lui lui a donné le surnom de jumper .,"Группа парней , с которыми он обычно повесить , дала ему прозвище "" Прыгун",0
This elegant spa town on the edge of the Lac du Bourget has offered cures for rheumatism and other ailments for centuries .,Cette élégante ville thermale au bord du lac du Bourget offre des cures de rhumatismes et d' autres maladies pendant des siècles .,Этот элегантный спа-городок на краю лак дю Бурже предлагает лекарства от ревматизм и других недугов на протяжении веков .,The town was only established in the past fifty years .,La ville n' a été créée qu' au cours des cinquante dernières années .,Город был создан только за последние пятьдесят лет .,2
right right well it 's it 's a beautiful city and but the problem is like first example when i was young they they took me to Las Vegas and that was the most boring place on earth,"C' est vrai , c' est une belle ville , mais le problème est comme le premier exemple quand j' étais jeune , ils m' ont emmené à Las Vegas et c' était l' endroit le plus ennuyeux sur terre .","Правильно . Это прекрасный город , но проблема как первый пример , когда я был молод , они взяли меня в Лас-Вегас и это было самое скучное место на земле .",I think Las Vegas is the most boring place I know .,Je pense que Las Vegas est l' endroit le plus ennuyeux que je connaisse .,"Я думаю , Лас-Вегас - самое скучное место , которое я знаю .",0
'Less loud .,Moins fort .,Не так громко .,Please be quiet .,"Tais-toi , s' il te plaît .","Пожалуйста , тише .",0
i 'm going to be able to make my own clothes,Je vais pouvoir faire mes propres vêtements .,Я собираюсь сделать свою собственную одежду .,I will be able to make my own clothing .,Je serai capable de faire mes propres vêtements .,Я смогу сделать свою собственную одежду .,0
The river plays a central role in all visits to Paris .,La Rivière joue un rôle central dans toutes les visites à Paris .,Река играет центральную роль во всех поездках в Париж .,The river is central to all vacations to Paris .,La Rivière est au centre de toutes les vacances à Paris .,Река занимает центральное место во всех каникулах в Париже .,0
they 're supposed to be bilingual,Ils sont censés être bilingues .,Они должны быть на двух языках .,They 're supposed to be bilingual,Ils sont censés être bilingues .,Они должны быть на двух языках .,0
"Oh , Czarek , but will happen to us ?","Oh , czarek , mais va-T-il nous arriver ?","О , czarek , но с нами случится ?",Czarek was not asked any questions on that day .,Czarek N' a pas posé de questions ce jour-là .,В тот день czarek не задали никаких вопросов .,2
"Turned out , I wasn 't completely wrong .","En fait , je n' avais pas complètement tort .","Оказалось , что я не был совсем неправ .",I was 100 percent wrong .,Je me suis trompé à 100,Я был на 100 % неправ .,2
"Native ' Me win , me passum heap big law ...","Native ' moi gagne , moi passum tas grosse loi ...","Родной ' я победил , я passum кучи большой закон ...",n / a,N / a,Н / а,2
"In any case--it 's over . ""","En tout cas -- C' est fini . ""","В любом случае -- все кончено . """,It is over .,C' est fini .,Все кончено .,0
The herbal extract shows success in treating mild dementia and preventing Alzheimer 's memory loss .,L' extrait d' herbes montre un succès dans le traitement de la démence légère et la prévention de la perte de mémoire d' Alzheimer .,Экстракт трав показывает успех в лечении легкого слабоумие и предотвращении потери памяти Альцгеймера .,The herbal extract is not very good at treating dementia .,L' extrait de plantes n' est pas très bon pour traiter la démence .,Экстракт трав не очень хорошо лечит слабоумие .,2
"After a lightning victory over the ill-prepared French armies , the Germans marched on Paris and laid siege to the city , which finally capitulated in January 1871 in the face of dwindling food supplies .","Après une victoire éclair sur les armées françaises mal préparées , les allemands marchent sur Paris et assiègent la ville , qui a finalement capitulé en janvier 1871 face à la raréfaction des vivres .","После победы молнии над плохо подготовленной французской армией немцы отправились в Париж и установили осаду города , который , в конце концов , капитулировал в январе 1871 года перед лицом истощения запасов продовольствия .",Paris was unhappy to have to surrender to the Germans .,Paris était malheureux de devoir se rendre aux Allemands .,"Париж был недоволен тем , что пришлось сдаться немцам .",1
That is why icons have the power they have .,C' est pourquoi les icônes ont le pouvoir qu' elles ont .,"Вот почему у иконы есть сила , которая у них есть .",That is why God moves me .,C' est pour ça que Dieu m' émeut .,Вот почему Бог меня двигает .,2
Critical to the product development process were activities that enabled the capture of specific design and manufacturing knowledge and decision reviews to determine if the knowledge captured would support the increased investment necessary to move to the next development phase or into production .,Le processus de développement des produits a été essentiel pour permettre la prise en compte des connaissances spécifiques en matière de conception et de fabrication et des examens de décision afin de déterminer si les connaissances saisies seraient favorables à l' augmentation des investissements nécessaires pour passer à la prochaine phase de développement ou à la production .,"Решающее значение для процесса разработки продукции имеет деятельность , которая позволяет получать конкретные данные о конструкции и производстве , а также обзоры принятия решений , с тем чтобы определить , будут ли эти знания способствовать увеличению объема инвестиций , необходимых для перехода на следующий этап развития или в производство",The knowledge captured would determine if the next step was further development or production .,Les connaissances saisies permettraient de déterminer si la prochaine étape était le développement ou la production .,"Захваченные знания определят , является ли следующий шаг дальнейшее развитие или производство .",0
Said I was foolishly proud .,Il a dit que j' étais stupidement fier .,"Сказал , что я по глупости горжусь .",My pride was foolish not well placed .,Ma fierté n' était pas bien placée .,"Моя гордость была глупой , не очень хорошо на .",0
The word had filled his head as though the girl had whispered directly into both ears .,Le mot avait rempli sa tête comme si la fille avait chuchoté directement dans les deux oreilles .,"Это слово заполнены ему голову , как будто девушка прошептала прямо в оба уха .",The girl spoke very quietly .,La fille parlait très tranquillement .,Девушка говорила очень тихо .,0
and a lot of their rules and regulations aren 't real clear so we have our manager of environmental who assist the TACB which is located in Austin in writing and hey look what we 've done here at TI,Et beaucoup de leurs règles et règlements ne sont pas très clairs donc nous avons notre directeur de l' environnement qui assiste le ric qui est situé à Austin par écrit et hey regarde ce qu' on a fait ici chez ti,"И много их правил и правил не очень ясно , так что у нас есть наш менеджер по окружающей среды , который помогает в , который находится в остине в письменном виде и эй посмотрите , что мы сделали здесь в ти .",There rules are not really clear so we ask our manager for help .,"Les règles ne sont pas vraiment claires , donc nous demandons à notre directeur de l' aide .","Правила не очень четкие , поэтому мы просим нашего менеджера о помощи .",0
